Index,Keyword,Tweets
0,tokyo olympic radiation hot spots,Tokyo 2020 Radiation hot spots found near Fukushima Olympic torch site Greenpeace claims
1,tokyo olympic radiation hot spots,High-level radiation hot spots found J-Village starting point Tokyo 2020 Olympic Torch Relay via https/
2,tokyo olympic radiation hot spots,High-level radiation hot spots found J-Village starting point Tokyo 2020 Olympic Torch Relay via https/
3,tokyo olympic radiation hot spots,High-level radiation hot spots found J-Village starting point Tokyo 2020 Olympic Torch Relay via https/
4,tokyo olympic radiation hot spots,High-level radiation hot spots found J-Village starting point Tokyo 2020 Olympic Torch Relay via
5,tokyo olympic radiation hot spots,High-level radiation hot spots found J-Village starting point Tokyo 2020 Olympic Torch Relay
6,tokyo olympic radiation hot spots,High-level radiation hot spots found J-Village starting point Tokyo 2020 Olympic Torch Relay
7,tokyo olympic radiation hot spots,High-level radiation hot spots found J-Village starting point Tokyo 2020 Olympic Torch Relay via
8,tokyo olympic radiation hot spots,High-level radiation hot spots detected sports complex Japan 's northeastern Fukushima prefecture 2020 T
9,tokyo olympic radiation hot spots,High-level radiation hot spots found J-Village starting point Tokyo 2020 Olympic Torch Relay via
10,tokyo olympic radiation hot spots,High-level radiation hot spots found J-Village starting point Tokyo 2020 Olympic Torch Relay via
0,tokyo olympics food,`` I 'll try ... talk things Congress Your allowance food free Your allowance 's yo
1,tokyo olympics food,`` I 'll try ... talk things Congress Your allowance food free Your allowance 's yo
2,tokyo olympics food,`` I 'll try ... talk things Congress Your allowance food free Your allowance 's yo
3,tokyo olympics food,`` I 'll try ... talk things Congress Your allowance food free Your allowance 's yo
4,tokyo olympics food,`` I 'll try ... talk things Congress Your allowance food free Your allowance 's
5,tokyo olympics food,Had fun talking sports food travel amp last evening Best wishes 2020 Summer
6,tokyo olympics food,`` I 'll try ... talk things Congress Your allowance food free Your allowance 's
7,tokyo olympics food,`` I 'll try ... talk things Congress Your allowance food free Your allowance 's
8,tokyo olympics food,South Korea Olympic committee plans buy radiation detectors ship homegrown ingredients Japan athletes
9,tokyo olympics food,Had fun talking sports food travel amp last evening Best wishes 2020 Summer
10,tokyo olympics food,Had fun talking sports food travel amp last evening Best wishes 2020 Summer
11,tokyo olympics food,The Japanese government actively distributes radioactively contaminated food public We waiting everyone
12,tokyo olympics food,The Japanese government actively distributes radioactively contaminated food public We
13,tokyo olympics food,The Japanese government actively distributes radioactively contaminated food public We waiting ever
14,tokyo olympics food,Had fun talking sports food travel amp last evening Best wishes 2020 Summer
15,tokyo olympics food,Had fun talking sports food travel amp last evening Best wishes 2020 Summer
16,tokyo olympics food,Had fun talking sports food travel amp last evening Best wishes 2020 Summer
17,tokyo olympics food,Ca n't Tokyo Olympics
