Index,Keyword,Tweets
0,TOKYO OLYMPIC nuclear,South Korea Olympic committee plans buy radiation detectors ship homegrown ingredients Japan athletes
1,TOKYO OLYMPIC nuclear,Japan 2011 Women World Cup-winning team kick 2020 Tokyo Olympic torch relay Fukushima area
4,TOKYO OLYMPIC nuclear,High-level radiation hot spots found J-Village starting point Tokyo 2020 Olympic Torch Relay
5,TOKYO OLYMPIC nuclear,What important Olympic Sprite Nature Environment Win These important
6,TOKYO OLYMPIC nuclear,When Olympic Torch Relay begins March pass Fukushima area Japan 's never recovered
8,TOKYO OLYMPIC nuclear,Fukushima foodshire Tokyo Olympic 2020 They want provide radioactive infected foods athlete
9,TOKYO OLYMPIC nuclear,Abandoned home Futaba Japan Fukushima prefecture Still empty 9 years nuclear reactor meltdown Tokyo Olympic
7,TOKYO OLYMPIC nuclear,South Korea Olympic committee plans buy radiation detectors ship homegrown ingredients Japan athletes
1,tokyo olympic radiation,Tokyo 2020 Radiation hot spots found near Fukushima Olympic torch site Greenpeace claims
6,tokyo olympic radiation,Torch Relay Route Map Radiation Data Members Japan 2011
10,tokyo olympic radiation,ROK Govt explains Japan dengerous open Tokyo 2020 Olympic games risk radiation If ROK explanation
12,tokyo olympic radiation,Tokyo Olympics 2020 The starting point Olympic torch relay J- Village Radiation dose air J- Village 1130
13,tokyo olympic radiation,High-level radiation hot spots found J-Village starting point Tokyo 2020 Olympic Torch Relay via
14,tokyo olympic radiation,High-level radiation hot spots detected sports complex Japan 's northeastern Fukushima prefecture 2020
0,Tokyo Olympics safety,Link foreign nationals safety/rights Japan Tokyo Olympics They 'll hate
0,#Fukushima radiation,Dec2019 =0.69 0.79 amp 1.23 Sv/h 1m substantially higher surface Along route
1,#Fukushima radiation,Dec2019 =0.69 0.79 amp 1.23 Sv/h 1m substantially higher surface Along route
2,#Fukushima radiation,2019-12-20 1100am Avg Background Radiation levels CA 13.5 NV 16.5 UT 13.0 uR/hr
3,#Fukushima radiation,Dec2019 =0.69 0.79 amp 1.23 Sv/h 1m substantially higher surface Along route
4,#Fukushima radiation,2019-12-20 700am Avg Background Radiation levels CA NV UT uR/hr
5,#Fukushima radiation,Dec2019 =0.69 0.79 amp 1.23 Sv/h 1m substantially higher surface Along route
6,#Fukushima radiation,Dec2019 =0.69 0.79 amp 1.23 Sv/h 1m substantially higher surface Along route
7,#Fukushima radiation,Dec2019 =0.69 0.79 amp 1.23 Sv/h 1m substantially higher surface Along route
8,#Fukushima radiation,2019-12-20 300am Avg Background Radiation levels CA 13.5 NV 16.6 UT 13.2 uR/hr
9,#Fukushima radiation,2019-12-19 1100pm Avg Background Radiation levels CA 13.6 NV 16.7 UT 13.3 uR/hr
10,#Fukushima radiation,2019-12-19 700pm Avg Background Radiation levels CA 13.7 NV 16.8 UT 13.4 uR/hr
11,#Fukushima radiation,NOT SAFE
12,#Fukushima radiation,2019-12-19 300pm Avg Background Radiation levels CA 13.7 NV 16.9 UT 13.4 uR/hr
13,#Fukushima radiation,First case radiation-related detected
14,#Fukushima radiation,Japan Lessons learned soil decontamination accident
15,#Fukushima radiation,2019-12-19 1100am Avg Background Radiation levels CA 13.7 NV 16.9 UT 13.2 uR/hr
16,#Fukushima radiation,2019-12-19 700am Avg Background Radiation levels CA NV UT uR/hr
17,#Fukushima radiation,Dec2019 =0.69 0.79 amp 1.23 Sv/h 1m substantially higher surface Along route
18,#Fukushima radiation,People wake Your asking right questions Like control We 've seen effect
19,#Fukushima radiation,People wake Your asking right questions Like control We 've seen e
20,#Fukushima radiation,2019-12-19 300am Avg Background Radiation levels CA 13.2 NV 16.8 UT 13.0 uR/hr
21,#Fukushima radiation,2019-12-18 1100pm Avg Background Radiation levels CA 13.2 NV 16.8 UT 13.0 uR/hr
22,#Fukushima radiation,2019-12-18 700pm Avg Background Radiation levels CA 13.3 NV 16.8 UT 13.0 uR/hr
23,#Fukushima radiation,2019-12-18 300pm Avg Background Radiation levels CA 13.2 NV 16.8 UT 13.0 uR/hr
24,#Fukushima radiation,Dec2019 =0.69 0.79 amp 1.23 Sv/h 1m substantially higher surface Along route
25,#Fukushima radiation,killing govt hides truth-former mayor
26,#Fukushima radiation,Dec2019 =0.69 0.79 amp 1.23 Sv/h 1m substantially higher surface Along route
27,#Fukushima radiation,2019-12-18 1100am Avg Background Radiation levels CA 13.1 NV 16.7 UT 12.9 uR/hr
28,#Fukushima radiation,Dec2019 =0.69 0.79 amp 1.23 Sv/h 1m substantially higher surface Along route
29,#Fukushima radiation,Dec2019 =0.69 0.79 amp 1.23 Sv/h 1m substantially higher surface Along route
30,#Fukushima radiation,Dec2019 =0.69 0.79 amp 1.23 Sv/h 1m substantially higher surface Along route
31,#Fukushima radiation,Dec2019 =0.69 0.79 amp 1.23 Sv/h 1m substantially higher surface Along route
32,#Fukushima radiation,mull measurements air dose around Route 6 torch relay
33,#Fukushima radiation,2019-12-18 700am Avg Background Radiation levels CA NV UT uR/hr
34,#Fukushima radiation,Dec2019 =0.69 0.79 amp 1.23 Sv/h 1m substantially higher surface Along route
35,#Fukushima radiation,Dec2019 =0.69 0.79 amp 1.23 Sv/h 1m substantially higher surface Along route
36,#Fukushima radiation,The 'gift keeps giving ... ..for centuries come ... ..
37,#Fukushima radiation,U.S. sailors residents sue damages exposure
38,#Fukushima radiation,2019-12-18 300am Avg Background Radiation levels CA 12.7 NV 16.5 UT 12.6 uR/hr
39,#Fukushima radiation,2019-12-17 1100pm Avg Background Radiation levels CA 12.8 NV 16.5 UT 12.7 uR/hr
40,#Fukushima radiation,exam.committees keep denying effect run away retir
41,#Fukushima radiation,exam.committees keep denying effect run away retir
42,#Fukushima radiation,exam.committees keep denying effect run away retir
43,#Fukushima radiation,exam.committees keep denying effect run away retir
44,#Fukushima radiation,2019-12-17 700pm Avg Background Radiation levels CA 12.8 NV 16.5 UT 12.7 uR/hr
45,#Fukushima radiation,clean-up reduces
46,#Fukushima radiation,2019-12-17 300pm Avg Background Radiation levels CA 12.8 NV 16.6 UT 12.7 uR/hr
47,#Fukushima radiation,After addition traffic accidents another risk cars/trains may appear .Aug.2014 US
48,#Fukushima radiation,After addition traffic accidents another risk cars/trains may appear .Aug.2014 US
49,#Fukushima radiation,Radiation hotspots 'found near Olympic site
50,#Fukushima radiation,clean-up reduced radiation levels scientists untreated forested areas remain problem wh
51,#Fukushima radiation,2019-12-17 1100am Avg Background Radiation levels CA 12.7 NV 16.5 UT 12.6 uR/hr
52,#Fukushima radiation,2019-12-17 700am Avg Background Radiation levels CA NV UT uR/hr
53,#Fukushima radiation,And radiation poisoning
54,#Fukushima radiation,AP FACT CHECK radiation cause alarm US via
55,#Fukushima radiation,govt set guideline open 4 oversight committee yrly exam backward away f/sch
56,#Fukushima radiation,exam.committees keep denying effect run away
57,#Fukushima radiation,govt set guideline open 4 oversight committee yrly exam backward away f/sch
58,#Fukushima radiation,govt set guideline open 4 oversight committee yrly exam backward away f/sch
59,#Fukushima radiation,2019-12-17 300am Avg Background Radiation levels CA 12.7 NV 16.6 UT 12.6 uR/hr
60,#Fukushima radiation,worst medical irradiaton world mandate dose management CT angiography.on medical r
61,#Fukushima radiation,Watch video know think issue
62,#Fukushima radiation,govt set guideline open 4 oversight committee yrly exam backward away f/sch
63,#Fukushima radiation,govt set guideline open 4 oversight committee yrly exam backward awa
64,#Fukushima radiation,worst medical irradiaton world mandate dose management CT angiography.on medical r
65,#Fukushima radiation,INSANITY FullThrottle RW East reopen Namie~Tomioka Jyoban Line running min 2.8 km f/
66,#Fukushima radiation,worst medical irradiaton world mandate dose management CT angiography.on medical r
67,#Fukushima radiation,INSANITY FullThrottle RW East reopen Namie~Tomioka Jyoban Line running min 2.8 km f/
68,#Fukushima radiation,2019-12-16 1100pm Avg Background Radiation levels CA 12.7 NV 16.6 UT 12.6 uR/hr
69,#Fukushima radiation,Hillary Obama poison food supply radiation food
70,#Fukushima radiation,INSANITY FullThrottle RW East reopen Namie~Tomioka Jyoban Line running min 2.8 km f/
71,#Fukushima radiation,High Radiation Found At 2020 Olympic Sites Olympic Food Safety Questioned || 300
72,#Fukushima radiation,INSANITY FullThrottle RW East reopen Namie~Tomioka Jyoban Line running min 2.8 km f/
73,#Fukushima radiation,2019-12-16 700pm Avg Background Radiation levels CA 12.8 NV 16.7 UT 12.7 uR/hr
74,#Fukushima radiation,2019-12-16 300pm Avg Background Radiation levels CA 12.8 NV 16.8 UT 12.7 uR/hr
75,#Fukushima radiation,INSANITY FullThrottle RW East reopen Namie~Tomioka Jyoban Line running min 2.8 km f/
76,#Fukushima radiation,High Radiation Found At 2020 Olympic Sites Olympic Food Safety Questioned || 300
77,#Fukushima radiation,2019-12-16 1100am Avg Background Radiation levels CA 12.8 NV 16.7 UT 12.7 uR/hr
78,#Fukushima radiation,Problematic Abe
79,#Fukushima radiation,From Blog A recent report shows 150-300 tons radioactive materials leaking
80,#Fukushima radiation,2019-12-16 700am Avg Background Radiation levels CA NV UT uR/hr
81,#Fukushima radiation,Sooo sauber Ein Schlag ins Gesicht der Betroffenen The disaster spewed radioactive material huge area
82,#Fukushima radiation,Newspaper films 4th part Dai-ichi vent stack dismantled human Dec.3 Completed another
83,#Fukushima radiation,OVER 180 found suspected cancer following
84,#Fukushima radiation,Must watch For You people living `` Lies ZDF ''
85,#Fukushima radiation,2019-12-16 300am Avg Background Radiation levels CA 12.9 NV 16.8 UT 13.0 uR/hr
86,#Fukushima radiation,Why 1 test radiation 2019 ... WOODS HOLE OCEANOGRAPHIC INSTITUTION send boat ...
87,#Fukushima radiation,INSANITY FullThrottle RW East reopen Namie~Tomioka Jyoban Line running min 2.8 km f/
88,#Fukushima radiation,INSANITY FullThrottle RW East reopen Namie~Tomioka Jyoban Line running min 2.8 km f/
89,#Fukushima radiation,INSANITY FullThrottle RW East reopen Namie~Tomioka Jyoban Line running min 2.8 km f/
90,#Fukushima radiation,2019-12-15 1100pm Avg Background Radiation levels CA 13.0 NV 16.8 UT 13.0 uR/hr
91,#Fukushima radiation,2019-12-15 700pm Avg Background Radiation levels CA 13.0 NV 16.9 UT 13.0 uR/hr
92,#Fukushima radiation,Newspaper films 4th part Dai-ichi vent stack dismantled human Dec.3 Completed another
93,#Fukushima radiation,Hillary Obama poison food supply radiation food
94,#Fukushima radiation,The Robot Sherwood happening Climate change due Radiation
95,#Fukushima radiation,The Disaster Zone `` Abe officially declared
96,#Fukushima radiation,'s Fallout Testing Groceries
97,#Fukushima radiation,INSANITY FullThrottle RW East reopen Namie~Tomioka Jyoban Line running min 2.8 km f/
98,#Fukushima radiation,2019-12-15 300pm Avg Background Radiation levels CA 13.0 NV 17.1 UT 13.0 uR/hr
99,#Fukushima radiation,INSANITY FullThrottle RW East reopen Namie~Tomioka Jyoban Line running min 2.8 km f/
100,#Fukushima radiation,INSANITY FullThrottle RW East reopen Namie~Tomioka Jyoban Line running min 2.8 km f/
101,#Fukushima radiation,INSANITY FullThrottle RW East reopen Namie~Tomioka Jyoban Line running min 2.8 km f/
102,#Fukushima radiation,INSANITY FullThrottle RW East reopen Namie~Tomioka Jyoban Line running min 2.8 km f/
103,#Fukushima radiation,INSANITY FullThrottle RW East reopen Namie~Tomioka Jyoban Line running min 2.8 km f/
104,#Fukushima radiation,INSANITY FullThrottle RW East reopen Namie~Tomioka Jyoban Line running min 2.8 km f/
105,#Fukushima radiation,I131 concentrated AROUND follicles looks blackish.NOT EVENLY distributed gland.Cells nearer I131 concentrat
106,#Fukushima radiation,INSANITY FullThrottle RW East reopen Namie~Tomioka Jyoban Line running min 2.8 km f/
107,#Fukushima radiation,INSANITY FullThrottle RW East reopen Namie~Tomioka Jyoban Line running min 2.8 km f/
108,#Fukushima radiation,INSANITY FullThrottle RW East reopen Namie~Tomioka Jyoban Line running min 2.8 km f/
109,#Fukushima radiation,INSANITY FullThrottle RW East reopen Namie~Tomioka Jyoban Line running min 2.8 km f/
110,#Fukushima radiation,2019-12-15 1100am Avg Background Radiation levels CA 12.9 NV 17.1 UT 13.0 uR/hr
111,#Fukushima radiation,Sooo sauber Ein Schlag ins Gesicht der Betroffenen The disaster spewed radioactive material huge area
112,#Fukushima radiation,2019-12-15 700am Avg Background Radiation levels CA NV UT uR/hr
113,#Fukushima radiation,hotspots 'found near site
114,#Fukushima radiation,clean-up reduced radiation levels scientists untreated forested areas remain problem wh
115,#Fukushima radiation,clean-up reduced radiation levels scientists untreated forested areas remain problem wh
116,#Fukushima radiation,clean-up reduced radiation levels scientists untreated forested areas remain problem wh
117,#Fukushima radiation,clean-up reduced radiation levels scientists untreated forested areas remain problem wh
118,#Fukushima radiation,The Disaster Zone `` Abe officially declared
119,#Fukushima radiation,clean-up reduces radiation levels via https//
120,#Fukushima radiation,2019-12-15 300am Avg Background Radiation levels CA 13.6 NV 16.7 UT 13.0 uR/hr
121,#Fukushima radiation,Problematic Abe evacuees resist return 'Reconstruction Olympics
122,#Fukushima radiation,High Radiation Found At 2020 Olympic Sites Olympic Food Safety Questioned || 300
123,#Fukushima radiation,Radiation leaking Ocean entire time
124,#Fukushima radiation,Radiation leaking Ocean entire time
125,#Fukushima radiation,High Radiation Found At 2020 Olympic Sites Olympic Food Safety Questioned || 300
126,#Fukushima radiation,2019-12-14 1100pm Avg Background Radiation levels CA 13.7 NV 16.7 UT 13.1 uR/hr
127,#Fukushima radiation,Is Now
128,#Fukushima radiation,Why 1 test radiation 2019 ... WOODS HOLE OCEANOGRAPHIC INSTITUTION send boat ...
129,#Fukushima radiation,Fukushima liquidators real The robotic equipment failed So Tepco sent humans 4 days finish job
130,#Fukushima radiation,High Radiation Found At 2020 Olympic Sites Olympic Food Safety Questioned || 300
131,#Fukushima radiation,High Radiation Found At 2020 Olympic Sites Olympic Food Safety Questioned || 300
132,#Fukushima radiation,High Radiation Found At 2020 Olympic Sites Olympic Food Safety Questioned || 300
