Index,Keyword,Tweets
0,tokyo olympic ticket,Malwina Smarzek Remembering Her 41 Point Performance What 's next Poland The team compete CEV Tokyo W
1,tokyo olympic ticket,Sat No.1 amateur boxer country Davis went perfect 5-0 Olympic Trials p
2,tokyo olympic ticket,Sat No.1 amateur boxer country Davis went perfect 5-0 Olympic Trials p
3,tokyo olympic ticket,Malwina Smarzek Remembering Her 41 Point Performance What 's next Poland The team compete CEV Tokyo W
4,tokyo olympic ticket,Malwina Smarzek Remembering Her 41 Point Performance What 's next Poland The team compete CEV Tokyo W
5,tokyo olympic ticket,Tickets termed 'insane demand via
6,tokyo olympic ticket,Sat No.1 amateur boxer country Davis went perfect 5-0 Olympic Trials p
7,tokyo olympic ticket,Sat No.1 amateur boxer country Davis went perfect 5-0 Olympic Trials p
8,tokyo olympic ticket,Sat No.1 amateur boxer country Davis went perfect 5-0 Olympic Trials p
9,tokyo olympic ticket,Sat No.1 amateur boxer country Davis went perfect 5-0 Olympic Trials p
10,tokyo olympic ticket,Sat No.1 amateur boxer country Davis went perfect 5-0 Olympic Trials p
11,tokyo olympic ticket,Sat No.1 amateur boxer country Davis went perfect 5-0 Olympic Trial
12,tokyo olympic ticket,ICYMI Latest Tokyo Olympic ticket lottery 1M offered 23M sought
13,tokyo olympic ticket,Tokyo Olympic organizers say spending 12.6B stage next year 's games Organizers say expenditure unchanged
14,tokyo olympic ticket,Latest Tokyo Olympic ticket lottery 1M offered 23M sought
15,tokyo olympic ticket,ICYMI Latest Tokyo Olympic ticket lottery 1M offered 23M sought
16,tokyo olympic ticket,ICYMI Latest Tokyo Olympic ticket lottery 1M offered 23M sought
17,tokyo olympic ticket,ICYMI Latest Tokyo Olympic ticket lottery 1M offered 23M sought
18,tokyo olympic ticket,Tokyo Olympic organizers say spending 12.6B stage next year 's games Organizers say expenditure unchanged
19,tokyo olympic ticket,Tokyo Olympic organizers say spending 12.6B stage next year 's games Organizers say expenditure unchanged
